date,order_code,Face_Masks_Required_in_Public,Source_of_Action,Citation,COUNTYFP,confirmed_cases,index,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
2020-08-29,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,58789,1748,0.027,0.032,0.054,0.145,0.742
2020-08-30,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,59153,1748,0.027,0.032,0.054,0.145,0.742
2020-08-31,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,59420,1748,0.027,0.032,0.054,0.145,0.742
2020-09-01,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,59716,1748,0.027,0.032,0.054,0.145,0.742
2020-09-02,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,59857,1748,0.027,0.032,0.054,0.145,0.742
2020-09-03,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,60144,1748,0.027,0.032,0.054,0.145,0.742
2020-09-04,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,60514,1748,0.027,0.032,0.054,0.145,0.742
2020-09-05,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,60819,1748,0.027,0.032,0.054,0.145,0.742
2020-09-06,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,61237,1748,0.027,0.032,0.054,0.145,0.742
2020-09-07,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,61476,1748,0.027,0.032,0.054,0.145,0.742
2020-09-08,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,61543,1748,0.027,0.032,0.054,0.145,0.742
2020-09-09,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,61642,1748,0.027,0.032,0.054,0.145,0.742
2020-09-10,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,61871,1748,0.027,0.032,0.054,0.145,0.742
2020-09-11,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,62057,1748,0.027,0.032,0.054,0.145,0.742
2020-09-12,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,62402,1748,0.027,0.032,0.054,0.145,0.742
2020-09-13,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,62650,1748,0.027,0.032,0.054,0.145,0.742
2020-09-14,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,62812,1748,0.027,0.032,0.054,0.145,0.742
2020-09-15,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,62952,1748,0.027,0.032,0.054,0.145,0.742
2020-09-16,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,63077,1748,0.027,0.032,0.054,0.145,0.742
2020-09-17,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,63301,1748,0.027,0.032,0.054,0.145,0.742
2020-09-18,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,63603,1748,0.027,0.032,0.054,0.145,0.742
2020-09-19,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,63877,1748,0.027,0.032,0.054,0.145,0.742
2020-09-20,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,64160,1748,0.027,0.032,0.054,0.145,0.742
2020-09-21,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,64288,1748,0.027,0.032,0.054,0.145,0.742
2020-09-22,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,64470,1748,0.027,0.032,0.054,0.145,0.742
2020-09-23,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,64895,1748,0.027,0.032,0.054,0.145,0.742
2020-09-24,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,65175,1748,0.027,0.032,0.054,0.145,0.742
2020-09-25,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,65583,1748,0.027,0.032,0.054,0.145,0.742
2020-09-26,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,66009,1748,0.027,0.032,0.054,0.145,0.742
2020-09-27,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,66262,1748,0.027,0.032,0.054,0.145,0.742
2020-09-28,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,66620,1748,0.027,0.032,0.054,0.145,0.742
2020-09-29,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,66899,1748,0.027,0.032,0.054,0.145,0.742
2020-09-30,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,67176,1748,0.027,0.032,0.054,0.145,0.742
2020-10-01,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,67499,1748,0.027,0.032,0.054,0.145,0.742
2020-10-02,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,68162,1748,0.027,0.032,0.054,0.145,0.742
2020-10-03,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,68580,1748,0.027,0.032,0.054,0.145,0.742
2020-10-04,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,68851,1748,0.027,0.032,0.054,0.145,0.742
2020-10-05,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,69151,1748,0.027,0.032,0.054,0.145,0.742
2020-10-06,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,69498,1748,0.027,0.032,0.054,0.145,0.742
